movie,sentence,score
디어 에반 핸슨,이미 뮤지컬을 알고 넘버들을 좋아한 사람으로 개인적으로 영화를 보고 난 후유증이 컸습니다. 같이 본 제 친구들은 아쉬웠다고 하지만 저는 주인공의 상황과 감정에 너무 공감이 가서 계속 생각이 나네요. 하지만 원작과 내용을 모르고 보는 분들에게는 확실히 내용의 찝찝함? 아쉬움이 남을거라 생각이 들긴해요. 저 혼자 조용히 인생영화에 포함되는 거 같아 아쉽지만 위로를 바라시는 분들은 한 번은 봐보라고 하고싶네요. ,10
혼자 사는 사람들,슬기야.. 너 슬기 맞지? ,6
디어 에반 핸슨,"배우들의 연기와 ost는 정말 좋았다.하지만 주인공의 감정선도 이해할 수 없었고,전체적으로 점점 영화가 지루해져갔다.최근 본 영화 중 가장 최악... ",1
캐시트럭,제이슨 스타뎀의 액션이 좋았는데 짧아서 아쉬움. ,5
장르만 로맨스,나름 재미있었고 영화관에서 모르는 사람들이랑 피식피식 웃으면서 볼 수 있어서 좋았음 일상적인 이야기이지만 감동도 있고 연출도 기존 영화들에서 볼 수 없었던 느낌이었음. 곱씹어볼수록 생각하게되는 영화. 다만 중반에 조금 지루했었던 것 같음 ,8
부산행,유치하고 허접하다. 헐리웃 좀비영화 어설프게 베낀영화인데 거품이 너무심하다. ,2
샹치와 텐 링즈의 전설,이거 마블 영화 맞냐? 수준낮은 중국판 할리우드 3류영화.. 보지마라 ,1
이터널스,"영상미는 뛰어나나, 세번이나 졸았다... 나만 그런 거 ㄴ아닌듯 ",2
이터널스,"영상미는 뛰어나나, 세번이나 졸았다... 나만 그런 거 ㄴ아닌듯 ",2
이터널스,"한줄평 : 이 영화는 PC충도 아우르고 전통적인 것도 아우르고 싶은 마음에 이것저것 넣다가 나중엔 너무 많이 넣어서 짬뽕이 아닌 음식물 쓰레기 맛이 되어 버린 것 같음.1. PC충 입맛 맞추기 위해 별 쓸데없는 요소들을 집어넣음. (장애인 등장? 근데 왜 등장함? 제작된 존재인데 그럼 말을 못하는 대신 뭔가 특별한 무언가를 넣어줬어야지... 생사를 오가는 전투현장에서 의사소통의 어려움은 팀의 멸망에 기여함... 제작된 존재가 왜 게이임? 꼬마애는 왜 날아다니는 엑스맨 좋아함? 주인공급 커플은 왜 느닷없이 해변가에서 관계를 가짐? 제작된 존재이기에 인간의 완전한 감정과 마음은 없는 설정이던데... 생식기능은 달아줬나? 자유의지 안 줬다면서 뭐 거대 괴수를 막으려는 거는 자유의지 아닌가? 그리고 막판 자살 테크는 뭐임...)2. 인류의 사회/과학/기술/문학 발전 등의 모든 것을 이터널스라는 집단이 행했으나 설명과 근거, 진중함이 부족함.3. 스토리 장애 수준임.4. 캐릭터 설정 부실. 예를 들어, 길가메시, 아테나, 이카루스 등 고전 문학/설화에 등장하는 캐릭터들의 특색을 모조리 무시함.5. 파워레인저임. 모여야지 갤럭티카 포톤 캐논 쓸 수 있는 느낌. 각자는 별로 별 거 없는 애들 집단.6. 어이없는 등장인물의 죽음, 악역의 역할 및 행보 등의 부실함.7. 감정선, 캐릭터 결심의 변화가 무슨 풍전등화처럼 휙휙 잘도 바뀜.8. 배우들이 불쌍함.끝.p.s. 감상포인트가 연출과 스토리인 이유 -> 연출과 스토리가 개똥이라서. ",1
악마를 보았다,이게 평점이 9점 안넘는건 어이가 없네 ,10
킬러의 보디가드 2,죽지않는 라쿠카라차들 ,6
고양이에게 밥을 주지 마세요,뭣 도 모르면서 떠들어 대기는같은 인간인게 부끄럽다영화나 제대로 보고 떠들어 ,10
인 더 하이츠,인싸들의 파티에 낀 아싸가 된 기분 ,2
핵소 고지,"전쟁 스토리 진행은 좀 허접한데, 도스의  부상병 구출씬은 압귄입니다. ",9
듄,정말 3시간 내내 시도때도 없이 웅장한 소리 나와서 귀만 아팠다... 한참 지난줄 알고 시계 확인하니 1시간 지남... 넘 지루했고 결말은 헐... 드니 빌뇌브 실망이예요. ,6
담보,성동일의 연기에 감동받았습니다. 역시 믿고보는 배우입니다. 성동일배우님 사랑해요♡♡ ,10
정글 크루즈,똑똑한 누나와 예쁜 남동생이 조화로움 ,7
듄,역시 영화는 영화의 화법으로 얘기해야 한다. 군더더기가 하나 없이 정말 깔끔한 연출! 드니 빌뵈브는 드니 빌뵈브다. 설명충 이터널스 감독은 반성하라. ,10
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,극장판 27기 신혼여행이 ㄴㅓ~~무쎘음 진짜 너무너무 유치.... 그래도 짱덕이라 별5개... ,10
강릉,오랜만에 한국 액션영화 봤네요 쏘쏘~ 요즘 블록버스터니 뭐니 그런거만 보다 나름 괜춘 ㅎ ,7
샹치와 텐 링즈의 전설,전체적으로 지루함... ,4
미스터 주: 사라진 VIP,"코믹영화 아닙니다. 아무것도 아니에요, 영화 이따두로 만들지 마세요.무료라도 이런건 보지 맙시다 ",1
디어 에반 핸슨,"꼭 스토리를 이렇게 풀어야 했을지,, 나갈까 말까 백번고민 ",2
너에게 가는 길,여자친구랑 같이 봤어요 나비님의 말씀이 기억에 남아요. 가족이라는게 영양분이라고 위로를 받지 못한다면 그건 자신이 더 튼튼하게 자랐다는 뜻이라는 말이 힘이 됐어요! 감사합니다 ,10
블랙 위도우,여자들이 멋지고 또 멋지다. ,9
맨 인 더 다크 2 ,아역의 연기가 좋았다. ,4
너에게 가는 길,이 영화는 어린 아이부터 노인까지 모두 봐야합니다. 그 누구도 차별의 권리는 없습니다. 인권 영화이고 가족영화이고 여성영화이며 모두의 영화입니다. 사람에 대한 영화이고 이 세상의 모든 사람들이 행복하게 사는 세상을 꿈꾸며 만든 영화라는 생각이 들었습니다. 청소년 자녀에게 꼭 보여주고 싶어요! ,10
이터널스,"난 개인적으로 정말 재미있게 보았음. 액션 위주는 아니지만, 영상미도 좋고, 페이즈4 도입부에 대한 내용에 대한 기대감도 좋았음. ",10
명장,여자는 내로남불? 워선! ,6
해리 포터와 마법사의 돌,몇 번을 봐도 설레는 영화 ,10
007 노 타임 투 다이,No Time To Die ,7
베놈 2: 렛 데어 비 카니지,역시 1편의 벽은 넘기 힘든가보다. ,6
프렌치 디스패치,웨스 앤더슨 감독 특유의 유머와 재치넘치는 스토리와 영상속에서 느껴지는 묵직한 느낌이 너무좋다 ,10
이터널스,마블팬 의리로 봄. 여기 저기 사랑타령 지루함. 그래도 다음편은 볼 예정. ,4
왓칭,최근에 본 영화중 최악.. ,1
콜,영화 빽투더퓨쳐 타임루프 법칙+스릴러. 사이코 전종서 연기가 돋보인다. 이 영화의 교훈 후회하지 말고 부모님께 잘 하자. ,8
이터널스,레알 재미가 없다 보는 내내 잠와서 잤다ㅋㅋ이정도로 재미없을줄 몰랐는데 앞으로 마블 시리즈 깊히 해야쓰것다 ,1
CCTV,곽도원은 왜 이런영화에 나왔는가가 보는 내내 머리속에서 떠나질 않음 ,4
싱크홀,만드시느라 고생하셨습니다. 감독님도 고민이 많으셨을듯 합니다 ,5
장르만 로맨스,웃음도 있고 감성도 있고 ,6
레드 노티스,킬러의보디가드2를 걍 그렇게 봐서 그런지 이번에는 데드풀1 못지않은 드립에 스토리 개연성도 괜찮았음 ,9
아담스 패밀리 2,웬즈데이 캐릭터 너무 매력있음. ,8
